city,size_rank,date,rent,value,newconstruciton_count,newconstruciton_pricepersqft,rent_affordability,home_owner_affordability,years_for_downpayment,new_renter_income_needed,affordable_home_price,median_sale_price,unemployment,cpi,empl_services,empl_total_nonfarm,empl_mining,empl_wholesale,empl_localgov,empl_horeca,empl_professional_and_business_services,empl_transport_and_utilities,empl_information,empl_finance,empl_manufacuring,salary_hourly,electricity_price,population,fedfunds_rate
us,0.0,2016-05-31,1327.372278094923,198575.58510142413,,,0.2648824274528623,0.2269700553140531,6.9654344368908445,50575.48958103685,294985.631219586,198333.0,4.8,239.557,102015.0,143901.0,666.0,5782.5,14315.0,15583.0,20091.0,27090.0,2751.0,8265.0,12332.0,25.58,0.133,324260.0,0.37
us,0.0,2016-06-30,1335.3816797984612,199503.3208080828,,,0.2651216860230163,0.2267523051823424,6.978683782648066,50762.78861316763,296763.2145041786,206499.0,4.9,240.222,102264.0,144152.0,657.0,5778.8,14276.0,15639.0,20134.0,27109.0,2801.0,8281.0,12350.0,25.62,0.138,324476.0,0.38
us,0.0,2016-07-31,1339.8046145697597,200219.2657511138,,,0.2651619219970578,0.2244818440146078,6.983237882540473,50918.206615767325,301461.2684303526,211000.0,4.8,240.101,102468.0,144515.0,651.0,5781.8,14374.0,15679.0,20178.0,27152.0,2799.0,8304.0,12372.0,25.69,0.139,324697.0,0.39
us,0.0,2016-08-31,1341.469832714485,200897.4531337808,,,0.2651865387097666,0.2244323734595517,6.985166893304527,51078.84713420452,302549.0991967441,212667.0,4.9,240.545,102649.0,144664.0,647.0,5784.3,14366.0,15725.0,20182.0,27198.0,2803.0,8320.0,12348.0,25.72,0.139,324924.0,0.4
us,0.0,2016-09-30,1340.5910325997806,201644.6079376356,,,0.2649974079957587,0.2248774890564654,6.985329629453468,51227.52403154862,302916.68054647394,209333.0,5.0,241.176,102878.0,144961.0,645.0,5795.2,14367.0,15785.0,20251.0,27209.0,2817.0,8327.0,12347.0,25.77,0.139,325155.0,0.4
us,0.0,2016-10-31,1338.8923452528425,202572.9143510745,,,0.2647868362169547,0.2252153807151527,6.991385485285718,51376.83521196988,303766.0548293231,205667.0,4.9,241.741,102986.0,145069.0,644.0,5797.1,14359.0,15780.0,20273.0,27231.0,2814.0,8333.0,12345.0,25.89,0.134,325368.0,0.4
us,0.0,2016-11-30,1337.8389412546487,203588.81121432464,,,0.2644730814262096,0.2310970597798626,6.999632507866395,51514.35689111493,296017.33532641456,203167.0,4.7,242.026,103099.0,145188.0,647.0,5800.9,14344.0,15826.0,20309.0,27209.0,2812.0,8344.0,12342.0,25.9,0.131,325562.0,0.41
us,0.0,2016-12-31,1337.923845340304,204663.7574234148,,,0.263847997909362,0.2394225127173527,7.002630591800977,51643.20099992684,285278.785514186,201505.0,4.7,242.637,103285.0,145410.0,648.0,5796.9,14350.0,15845.0,20341.0,27272.0,2817.0,8370.0,12355.0,25.92,0.133,325742.0,0.54
us,0.0,2017-01-31,1343.624680140679,205738.90318589544,,,0.2635007113378129,0.2385740115004974,7.003915126909227,51838.31417833388,287981.21044338605,200172.0,4.7,243.618,103466.0,145636.0,648.0,5804.9,14347.0,15874.0,20382.0,27317.0,2821.0,8397.0,12366.0,26.0,0.134,325901.0,0.65
us,0.0,2017-02-28,1353.200745742544,206853.8364109496,,,0.2633212421536207,0.2389878224402599,7.008036292364348,52057.43691984828,288961.7003338153,198338.0,4.6,244.006,103606.0,145848.0,655.0,5807.5,14354.0,15917.0,20400.0,27317.0,2815.0,8400.0,12380.0,26.07,0.135,326050.0,0.66
